ID,Date,Open,High,Low,Close,Volume
0,2021-12-10,77400.0,77600.0,76800.0,76900.0,9155219
1,2021-12-13,77200.0,78300.0,76500.0,76800.0,15038750
2,2021-12-14,76500.0,77200.0,76200.0,77000.0,10976660
3,2021-12-15,76400.0,77600.0,76300.0,77600.0,9584939
4,2021-12-16,78500.0,78500.0,77400.0,77800.0,11996128
5,2021-12-17,76800.0,78000.0,76800.0,78000.0,13108479
6,2021-12-20,77600.0,77800.0,76800.0,77100.0,11264375
7,2021-12-21,77900.0,78300.0,77500.0,78100.0,14245298
8,2021-12-22,78900.0,79400.0,78800.0,79400.0,17105892
9,2021-12-23,79800.0,80000.0,79300.0,79900.0,13577498
10,2021-12-24,80200.0,80800.0,80200.0,80500.0,12086380
11,2021-12-27,80600.0,80600.0,79800.0,80200.0,10783368
12,2021-12-28,80200.0,80400.0,79700.0,80300.0,18226325
13,2021-12-29,80200.0,80200.0,78500.0,78800.0,19794795
14,2021-12-30,78900.0,79500.0,78100.0,78300.0,14236700
15,2022-01-04,78800.0,79200.0,78300.0,78700.0,12427416
16,2022-01-05,78800.0,79000.0,76400.0,77400.0,25470640
17,2022-01-06,76700.0,77600.0,76600.0,76900.0,12931954
18,2022-01-07,78100.0,78400.0,77400.0,78300.0,15163757
19,2022-01-10,78100.0,78100.0,77100.0,78000.0,9947422
20,2022-01-11,78400.0,79000.0,78000.0,78900.0,13221123
21,2022-01-12,79500.0,79600.0,78600.0,78900.0,11000502
22,2022-01-13,79300.0,79300.0,77900.0,77900.0,13889401
23,2022-01-14,77700.0,78100.0,77100.0,77300.0,10096725
24,2022-01-17,77600.0,77800.0,76900.0,77500.0,8785122
25,2022-01-18,77600.0,77800.0,76600.0,77000.0,9592788
26,2022-01-19,76500.0,76900.0,76100.0,76300.0,10598290
27,2022-01-20,76200.0,76700.0,75900.0,76500.0,9708168
28,2022-01-21,75800.0,75800.0,74700.0,75600.0,15774888
29,2022-01-24,75400.0,75800.0,74700.0,75100.0,13691134
30,2022-01-25,74800.0,75000.0,73200.0,74000.0,17766704
31,2022-01-26,74000.0,74000.0,74000.0,74000.0,0
32,2022-01-27,73800.0,74000.0,71300.0,71300.0,22274777
33,2022-01-28,71300.0,73700.0,71200.0,73300.0,21367447
34,2022-02-03,74900.0,74900.0,73300.0,73300.0,17744721
35,2022-02-04,74300.0,74600.0,73400.0,74000.0,12730034
36,2022-02-07,73500.0,73600.0,72400.0,73000.0,14240838
37,2022-02-08,73000.0,73000.0,73000.0,73000.0,0
38,2022-02-09,73000.0,73000.0,73000.0,73000.0,0
39,2022-02-10,75600.0,75800.0,74700.0,75400.0,17746033
40,2022-02-11,75000.0,75500.0,74600.0,74900.0,12205407
41,2022-02-14,74400.0,74500.0,73100.0,73700.0,13993255
42,2022-02-15,74100.0,74200.0,73100.0,73700.0,9320365
43,2022-02-16,74600.0,74900.0,74200.0,74800.0,10767386
44,2022-02-17,75000.0,75600.0,74500.0,75000.0,13605382
45,2022-02-18,74600.0,74800.0,73700.0,74300.0,10122226
46,2022-02-21,74300.0,74300.0,74300.0,74300.0,0
47,2022-02-22,74300.0,74300.0,74300.0,74300.0,0
48,2022-02-23,74300.0,74300.0,74300.0,74300.0,0
49,2022-02-24,72300.0,72300.0,71300.0,71500.0,15759283
50,2022-02-25,72100.0,72600.0,71900.0,71900.0,13168484
51,2022-02-28,71900.0,71900.0,71900.0,71900.0,0
52,2022-03-02,72300.0,72400.0,71500.0,71700.0,12481430
53,2022-03-03,72300.0,73100.0,72200.0,72900.0,13232638
54,2022-03-04,72900.0,72900.0,72900.0,72900.0,0
55,2022-03-07,70000.0,70600.0,69900.0,70100.0,18617138
56,2022-03-08,68800.0,70000.0,68700.0,69500.0,15828269
57,2022-03-10,69500.0,69500.0,69500.0,69500.0,0
