ID,Date,Open,High,Low,Close,Volume
0,2021-12-10,120500.0,121500.0,119500.0,120500.0,2512642
1,2021-12-13,121000.0,124000.0,121000.0,121500.0,3329176
2,2021-12-14,120500.0,123000.0,120000.0,121000.0,2201003
3,2021-12-15,120000.0,123500.0,120000.0,123500.0,2681332
4,2021-12-16,125000.0,125500.0,122500.0,124000.0,3869086
5,2021-12-17,120500.0,123000.0,120500.0,122000.0,3850444
6,2021-12-20,121500.0,123500.0,120500.0,120500.0,2846815
7,2021-12-21,124000.0,124500.0,122500.0,124500.0,3678590
8,2021-12-22,127500.0,128500.0,126000.0,127000.0,3817689
9,2021-12-23,129000.0,129000.0,126500.0,127500.0,2398358
10,2021-12-24,129000.0,130000.0,128000.0,128000.0,2462683
11,2021-12-27,128500.0,129000.0,126000.0,126000.0,2684135
12,2021-12-28,126500.0,128000.0,124500.0,127500.0,4086063
13,2021-12-29,127500.0,128500.0,125500.0,127000.0,3832154
14,2021-12-30,131000.0,133500.0,130000.0,131000.0,5172987
15,2022-01-04,129500.0,130000.0,127500.0,128500.0,3622369
16,2022-01-05,129000.0,129000.0,121500.0,125500.0,7414954
17,2022-01-06,123500.0,127000.0,123000.0,125000.0,3725569
18,2022-01-07,127000.0,129000.0,126500.0,127000.0,3270119
19,2022-01-10,126500.0,127000.0,123000.0,124500.0,3449197
20,2022-01-11,125500.0,128500.0,124500.0,128000.0,3958787
21,2022-01-12,129500.0,130000.0,126500.0,128500.0,3552174
22,2022-01-13,128500.0,130000.0,128000.0,129500.0,4155984
23,2022-01-14,128500.0,129000.0,126000.0,128500.0,3769648
24,2022-01-17,127500.0,128000.0,124500.0,127000.0,3730393
25,2022-01-18,126500.0,127500.0,125000.0,126500.0,3607850
26,2022-01-19,123500.0,128500.0,123500.0,127000.0,4094609
27,2022-01-20,126000.0,126500.0,123500.0,125000.0,5441986
28,2022-01-21,121500.0,122500.0,118000.0,119000.0,6465040
29,2022-01-24,116500.0,120500.0,116500.0,119000.0,4883822
30,2022-01-25,118000.0,120000.0,116500.0,118000.0,5702595
31,2022-01-26,118000.0,118000.0,118000.0,118000.0,0
32,2022-01-27,119500.0,119500.0,111000.0,113500.0,6679404
33,2022-01-28,115000.0,121500.0,114500.0,120500.0,4776510
34,2022-02-03,124500.0,127000.0,124000.0,124000.0,5171178
35,2022-02-04,125500.0,127000.0,124000.0,124500.0,3037097
36,2022-02-07,123000.0,123500.0,119500.0,123000.0,4804261
37,2022-02-08,123000.0,123000.0,123000.0,123000.0,0
38,2022-02-09,123000.0,123000.0,123000.0,123000.0,0
39,2022-02-10,129000.0,131000.0,127000.0,129500.0,7269729
40,2022-02-11,130500.0,132500.0,130000.0,132000.0,6057207
41,2022-02-14,130000.0,132500.0,129500.0,132500.0,4962205
42,2022-02-15,131500.0,132000.0,127000.0,127000.0,5097120
43,2022-02-16,131000.0,132500.0,130000.0,130500.0,3499809
44,2022-02-17,130500.0,134000.0,130000.0,133000.0,5433402
45,2022-02-18,131500.0,133000.0,129500.0,131500.0,3108887
46,2022-02-21,131500.0,131500.0,131500.0,131500.0,0
47,2022-02-22,131500.0,131500.0,131500.0,131500.0,0
48,2022-02-23,131500.0,131500.0,131500.0,131500.0,0
49,2022-02-24,125500.0,126000.0,122000.0,122500.0,5748069
50,2022-02-25,125500.0,126000.0,122500.0,123000.0,3309625
51,2022-02-28,123000.0,123000.0,123000.0,123000.0,0
52,2022-03-02,124500.0,126500.0,123000.0,125000.0,2903340
53,2022-03-03,128000.0,129500.0,127000.0,129000.0,3088097
54,2022-03-04,129000.0,129000.0,129000.0,129000.0,0
55,2022-03-07,119000.0,121000.0,119000.0,119500.0,5203286
56,2022-03-08,117000.0,119500.0,116500.0,118000.0,3619045
57,2022-03-10,118000.0,118000.0,118000.0,118000.0,0
58,2022-03-11,118000.0,118000.0,118000.0,118000.0,0
59,2022-03-14,115500.0,117000.0,114500.0,116000.0,3172353
60,2022-03-15,116000.0,116000.0,116000.0,116000.0,0
61,2022-03-16,116000.0,116000.0,116000.0,116000.0,0
62,2022-03-17,116000.0,116000.0,116000.0,116000.0,0
63,2022-03-18,124000.0,125000.0,121000.0,124000.0,4493159
64,2022-03-21,124000.0,124000.0,124000.0,124000.0,0
65,2022-03-22,121000.0,124000.0,121000.0,123500.0,2246439
66,2022-03-23,124000.0,124500.0,122000.0,123500.0,4085633
67,2022-03-24,121000.0,122000.0,119500.0,120500.0,4215272
68,2022-03-25,122000.0,123000.0,118000.0,118000.0,5514940
69,2022-03-28,117500.0,119500.0,116500.0,118000.0,3234792
70,2022-03-29,119500.0,120500.0,118500.0,120000.0,3375247
71,2022-03-30,123000.0,123000.0,120500.0,121000.0,3436282
72,2022-03-31,119500.0,120000.0,117500.0,118000.0,4558063
73,2022-04-01,117000.0,117500.0,116000.0,116000.0,3851558
74,2022-04-04,115000.0,117500.0,114500.0,117000.0,2470792
75,2022-04-05,117500.0,118000.0,116000.0,116500.0,2101474
76,2022-04-06,114500.0,115500.0,113000.0,113000.0,4541938
77,2022-04-07,111500.0,114500.0,110500.0,113500.0,5027865
78,2022-04-08,113000.0,114000.0,110500.0,112000.0,4268316
79,2022-04-11,111000.0,113000.0,110500.0,111500.0,2390786
80,2022-04-12,110500.0,113000.0,110500.0,111000.0,2738163
81,2022-04-13,112000.0,113000.0,111000.0,113000.0,2484490
82,2022-04-14,113000.0,113000.0,110000.0,110000.0,4715700
83,2022-04-15,108000.0,108500.0,107000.0,108000.0,3694012
84,2022-04-18,107000.0,109500.0,106500.0,109000.0,2670439
85,2022-04-19,110000.0,112500.0,109500.0,112500.0,3021192
86,2022-04-20,112500.0,113000.0,111000.0,112500.0,2905007
87,2022-04-21,112500.0,115000.0,112500.0,113000.0,3199858
88,2022-04-22,110500.0,112000.0,110500.0,110500.0,2360834
